Theft Status,Occurrence Hour,Occurrence Month,Premises Type,Bike Cost
1,10,6,Outdoors,200
1,9,6,Outdoors,700
1,8,6,Residential,0
1,21,6,Residential,750
1,6,6,Residential,542.77001953125
1,16,5,Residential,500
1,13,6,Outdoors,200
1,18,6,Outdoors,800
1,22,6,Other,600
1,16,6,Residential,50
1,15,6,Residential,370
1,16,6,Residential,600
1,1,6,Residential,200
1,20,6,Other,1400
1,11,6,Outdoors,250
1,11,6,Outdoors,250
1,1,6,Residential,50
1,23,6,Residential,350
1,8,6,Other,450
1,7,6,Residential,250
1,23,6,Residential,0
1,6,6,Residential,500
1,10,6,Other,1300
1,17,6,Residential,750
1,18,5,Outdoors,0
1,6,6,Residential,0
1,20,6,Other,100
1,12,6,Residential,300
1,8,6,Residential,700
1,8,6,Residential,700
1,0,6,Residential,500
1,15,6,Residential,240
1,18,6,Residential,600
1,6,6,Residential,400
1,4,6,Residential,500
1,13,6,Outdoors,1200
1,13,6,Outdoors,1500
1,8,6,Outdoors,300
1,10,6,Residential,200
1,9,6,Residential,200
1,14,6,Residential,750
1,7,6,Residential,150
1,11,6,Other,0
1,18,6,Residential,240
1,11,6,Other,579
0,10,6,Residential,1200
1,16,6,Residential,900
1,12,6,Residential,420
1,20,6,Residential,570
1,23,7,Residential,200
1,22,7,Residential,600
1,23,7,Residential,200
1,18,7,Residential,2000
1,19,6,Residential,700
1,20,6,Outdoors,400
1,21,7,Outdoors,0
1,1,7,Other,250
1,9,7,Other,900
1,14,6,Other,700
1,17,6,Residential,500
1,17,7,Outdoors,500
1,12,6,Residential,500
1,18,7,Residential,40
0,18,7,Residential,0
1,11,7,Outdoors,300
1,13,7,Residential,600
1,10,6,Outdoors,600
1,22,6,Other,124.25
1,21,7,Outdoors,189.990005493164
1,9,7,Other,140
1,11,6,Other,950
1,19,7,Residential,579
1,21,7,Other,450
1,16,7,Outdoors,2000
1,17,7,Outdoors,600
1,4,7,Residential,600
1,22,7,Other,1500
1,23,6,Residential,700
1,22,7,Outdoors,750
